area_fips,area_title,rice_farm_estabs,rice_farm_disclosure
05001,"Arkansas County, Arkansas",12,NA
05017,"Chicot County, Arkansas",8,NA
05019,"Clark County, Arkansas",1,N
05021,"Clay County, Arkansas",16,NA
05031,"Craighead County, Arkansas",16,NA
05035,"Crittenden County, Arkansas",12,NA
05037,"Cross County, Arkansas",16,NA
05041,"Desha County, Arkansas",8,N
05043,"Drew County, Arkansas",7,NA
05045,"Faulkner County, Arkansas",1,N
05047,"Franklin County, Arkansas",0,N
05049,"Fulton County, Arkansas",0,N
05055,"Greene County, Arkansas",10,NA
05067,"Jackson County, Arkansas",10,NA
05069,"Jefferson County, Arkansas",5,NA
05075,"Lawrence County, Arkansas",10,NA
05077,"Lee County, Arkansas",2,N
05079,"Lincoln County, Arkansas",4,NA
05085,"Lonoke County, Arkansas",24,NA
05093,"Mississippi County, Arkansas",11,NA
05095,"Monroe County, Arkansas",2,N
05107,"Phillips County, Arkansas",2,N
05111,"Poinsett County, Arkansas",19,NA
05115,"Pope County, Arkansas",1,N
05117,"Prairie County, Arkansas",14,NA
05119,"Pulaski County, Arkansas",2,N
05121,"Randolph County, Arkansas",7,NA
05123,"St. Francis County, Arkansas",3,N
05137,"Stone County, Arkansas",1,N
05145,"White County, Arkansas",0,N
05147,"Woodruff County, Arkansas",7,NA
37007,"Anson County, North Carolina",2,N
37009,"Ashe County, North Carolina",0,N
37011,"Avery County, North Carolina",0,N
37091,"Hertford County, North Carolina",1,N
37135,"Orange County, North Carolina",1,N
45031,"Darlington County, South Carolina",1,N
