area_fips,area_title,rice_mill_estabs,rice_mill_disclosure
05001,"Arkansas County, Arkansas",4,N
05031,"Craighead County, Arkansas",4,N
05035,"Crittenden County, Arkansas",1,N
05037,"Cross County, Arkansas",3,N
05041,"Desha County, Arkansas",1,N
05069,"Jefferson County, Arkansas",2,N
05077,"Lee County, Arkansas",1,N
05085,"Lonoke County, Arkansas",2,N
05095,"Monroe County, Arkansas",1,N
05111,"Poinsett County, Arkansas",3,N
05119,"Pulaski County, Arkansas",1,N
05121,"Randolph County, Arkansas",1,N
05999,"Unknown Or Undefined, Arkansas",1,N
45999,"Unknown Or Undefined, South Carolina",1,N
